Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805",271.350000,-111.650000,270.000000,top
"C2","10u","C_0805",263.900000,-110.800000,90.000000,top
"C3","10u","C_0805",261.200000,-110.800000,90.000000,top
"C4","10u","C_0805",263.900000,-105.250000,90.000000,top
"C5","10u","C_0805",261.200000,-105.250000,90.000000,top
"C6","10u","C_0805",271.350000,-105.250000,90.000000,top
"C7","2u2","C_0603",216.350000,-122.400000,270.000000,top
"C8","2u2","C_0603",225.550000,-122.400000,270.000000,top
"C9","2u2","C_0603",234.750000,-122.400000,270.000000,top
"C10","2u2","C_0603",243.950000,-122.400000,270.000000,top
"C11","2u2","C_0603",253.150000,-122.400000,270.000000,top
"C12","2u2","C_0603",233.800000,-98.700000,180.000000,top
"C13","2u2","C_0603",230.350000,-107.350000,90.000000,top
"C14","2u2","C_0603",239.050000,-118.000000,0.000000,top
"C15","2u2","C_0603",246.300000,-118.000000,0.000000,top
"C16","2u2","C_0603",230.350000,-110.150000,270.000000,top
"C17","2u2","C_0603",249.700000,-107.100000,270.000000,top
"C18","2u2","C_0603",241.050000,-98.700000,180.000000,top
"C19","2u2","C_0603",249.700000,-110.600000,270.000000,top
"C20","2u2","C_0603",213.800000,-93.150000,0.000000,top
"C21","2u2","C_0603",211.000000,-95.900000,90.000000,top
"C22","2u2","C_0603",211.000000,-100.700000,90.000000,top
"C23","2u2","C_0603",211.000000,-104.700000,90.000000,top
"C24","2u2","C_0603",213.800000,-117.950000,0.000000,top
"C25","2u2","C_0603",223.800000,-117.950000,0.000000,top
"C26","2u2","C_0603",226.600000,-104.600000,270.000000,top
"C27","2u2","C_0603",226.600000,-99.800000,270.000000,top
"C28","2u2","C_0603",223.800000,-93.150000,0.000000,top
"C29","10u","C_0805",269.875000,-126.238000,180.000000,top
"C30","2u2","C_0603",273.939000,-99.187000,270.000000,top
"C31","15p","C_0603",205.500000,-106.300000,180.000000,top
"D1","White","LED_0805",229.500000,-98.850000,180.000000,top
"FID1","Fiducial","Fiducial",203.200000,-129.540000,0.000000,top
"FID2","Fiducial","Fiducial",203.454000,-92.202000,0.000000,top
"FID3","Fiducial","Fiducial",271.526000,-92.202000,0.000000,top
"FID4","Fiducial","Fiducial",270.129000,-129.286000,0.000000,top
"R1","0 ","R_0805",258.500000,-107.050000,90.000000,top
"R2","47","R_0603",265.750000,-124.500000,0.000000,top
"R3","47","R_0603",229.650000,-119.050000,270.000000,top
"R4","47","R_0603",226.750000,-119.050000,270.000000,top
"R5","47","R_0603",228.200000,-119.050000,270.000000,top
"R6","0","R_0805",209.296000,-124.015500,0.000000,top
"R7","DNP","R_0805",209.296000,-126.174500,0.000000,top
"R8","47","R_0603",205.500000,-109.200000,180.000000,top
"R9","10k","R_0603",205.500000,-107.750000,180.000000,top
"R10","180","R_0805",229.500000,-100.800000,0.000000,top
"U1","LCMXO256-TN100","TQFP-100_14x14mm_P0.5mm",240.050000,-108.350000,0.000000,top
"U2","W9812G6KH-6","TSOP-II-54_22.2x10.16mm_P0.8mm",218.800000,-105.450000,0.000000,top
"U3","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",220.775000,-124.600000,0.000000,top
"U4","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",229.975000,-124.600000,0.000000,top
"U5","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",239.175000,-124.600000,0.000000,top
"U6","74AHCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",248.375000,-124.600000,0.000000,top
"U7","74AHCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",257.575000,-124.600000,0.000000,top
"U8","XC6206P332MR","SOT-23",267.650000,-110.800000,180.000000,top
"U9","AP2127K-1.2TRG1","SOT-23-5",267.650000,-105.150000,0.000000,top
"U11","25F010","SOIC-8_5.3mm",267.970000,-100.330000,270.000000,top
